Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 2 -stddev-prec 0 -col-name-width 0 -row-name-width 40 -mean-width 2 -stddev-width 2 -sig-width 1 -count-width 0 -show-avg -print-row-names -enum-col-names"
Analysing:  Matthews_correlation
Datasets:   27
Resultsets: 18
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       18/06/2021, 16:05


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],''
CombinedFeatures-EmotionsAndTemp-10s,0.91,0.91,' ',0.92,' ',0.91,' ',0.91,' ',0.92,' ',0.92,' ',0.62,*,0.83,*,0.83,*,0.82,*,0.82,*,0.82,*,0.76,*,0.72,*,0.78,*,0.78,*,0.81,*
CombinedFeatures-EmotionsAndTemp-20s,0.87,0.88,' ',0.87,' ',0.86,' ',0.87,' ',0.87,' ',0.87,' ',0.63,*,0.78,' ',0.77,' ',0.77,*,0.77,*,0.77,*,0.69,*,0.68,*,0.72,*,0.75,' ',0.76,' '
CombinedFeatures-EmotionsAndTemp-30s,0.78,0.80,' ',0.79,' ',0.77,' ',0.77,' ',0.79,' ',0.78,' ',0.62,*,0.71,' ',0.71,' ',0.71,' ',0.71,' ',0.71,' ',0.63,' ',0.60,' ',0.61,*,0.63,*,0.64,' '
CombinedFeatures-EmotionsOnly-10s,0.79,0.79,' ',0.79,' ',0.80,' ',0.79,' ',0.79,' ',0.79,' ',0.62,*,0.71,' ',0.70,*,0.70,*,0.70,*,0.70,*,0.65,*,0.65,*,0.66,*,0.70,' ',0.71,' '
CombinedFeatures-EmotionsOnly-20s,0.76,0.76,' ',0.76,' ',0.75,' ',0.75,' ',0.76,' ',0.76,' ',0.64,' ',0.68,' ',0.68,' ',0.69,' ',0.69,' ',0.69,' ',0.60,*,0.57,*,0.64,' ',0.66,' ',0.67,' '
CombinedFeatures-EmotionsOnly-30s,0.69,0.68,' ',0.69,' ',0.69,' ',0.68,' ',0.69,' ',0.69,' ',0.62,' ',0.60,' ',0.60,' ',0.58,' ',0.58,' ',0.58,' ',0.54,*,0.53,' ',0.55,' ',0.57,' ',0.58,' '
CombinedFeatures-TempOnly-10s,0.47,0.47,' ',0.44,' ',0.44,' ',0.44,' ',0.46,' ',0.46,' ',0.37,*,0.42,' ',0.43,' ',0.43,' ',0.44,' ',0.43,' ',0.39,' ',0.39,' ',0.43,' ',0.43,' ',0.43,' '
CombinedFeatures-TempOnly-20s,0.44,0.44,' ',0.44,' ',0.44,' ',0.44,' ',0.45,' ',0.44,' ',0.47,' ',0.38,' ',0.38,' ',0.38,' ',0.38,' ',0.38,' ',0.36,' ',0.36,' ',0.35,' ',0.35,' ',0.35,' '
CombinedFeatures-TempOnly-30s,0.41,0.41,' ',0.41,' ',0.41,' ',0.41,' ',0.41,' ',0.42,' ',0.46,' ',0.34,' ',0.33,' ',0.34,' ',0.33,' ',0.33,' ',0.34,' ',0.34,' ',0.33,' ',0.33,' ',0.33,' '
DistractionFeatures-EmotionsAndTemp-10s,0.86,0.87,' ',0.86,' ',0.85,' ',0.87,' ',0.87,' ',0.87,' ',0.75,*,0.74,*,0.74,*,0.74,*,0.74,*,0.74,*,0.72,*,0.69,*,0.74,*,0.74,*,0.79,' '
