Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 2 -stddev-prec 0 -col-name-width 0 -row-name-width 50 -mean-width 0 -stddev-width 0 -sig-width 0 -count-width 0 -print-row-names -enum-col-names"
Analysing:  Matthews_correlation
Datasets:   27
Resultsets: 18
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       24/06/2021, 14:23


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],''
AllEx3-Combined-EmotionsAndTemp-10s-Rel,0.26,0.26,' ',0.26,' ',0.27,' ',0.25,' ',0.26,' ',0.26,' ',0.25,' ',0.20,' ',0.19,' ',0.19,' ',0.19,' ',0.19,' ',0.12,*,0.12,*,0.12,*,0.12,*,0.15,*
AllEx3-Combined-EmotionsAndTemp-20s-Rel,0.35,0.36,' ',0.34,' ',0.34,' ',0.35,' ',0.36,' ',0.36,' ',0.23,*,0.18,*,0.18,*,0.18,*,0.18,*,0.17,*,0.14,*,0.13,*,0.15,*,0.15,*,0.17,*
AllEx3-Combined-EmotionsAndTemp-30s-Rel,0.40,0.42,' ',0.40,' ',0.39,' ',0.41,' ',0.41,' ',0.41,' ',0.22,*,0.23,*,0.23,*,0.23,*,0.23,*,0.23,*,0.23,*,0.19,*,0.23,*,0.19,*,0.21,*
AllEx3-Combined-EmotionsOnly-10s-Rel,0.26,0.26,' ',0.25,' ',0.25,' ',0.26,' ',0.26,' ',0.27,' ',0.25,' ',0.18,' ',0.18,' ',0.18,' ',0.18,' ',0.18,' ',0.11,*,0.10,*,0.13,*,0.13,*,0.13,*
AllEx3-Combined-EmotionsOnly-20s-Rel,0.32,0.33,' ',0.32,' ',0.31,' ',0.32,' ',0.33,' ',0.33,' ',0.26,' ',0.14,*,0.14,*,0.14,*,0.14,*,0.14,*,0.15,*,0.13,*,0.16,*,0.17,*,0.16,*
AllEx3-Combined-EmotionsOnly-30s-Rel,0.41,0.42,' ',0.41,' ',0.37,' ',0.39,' ',0.42,' ',0.42,' ',0.21,*,0.27,*,0.27,*,0.27,*,0.27,*,0.27,*,0.21,*,0.20,*,0.21,*,0.22,*,0.21,*
AllEx3-Combined-TempOnly-10s-Rel,0.06,0.07,' ',0.07,' ',0.07,' ',0.07,' ',0.06,' ',0.06,' ',0.01,' ',-0.03,' ',-0.03,' ',-0.03,' ',-0.04,' ',-0.04,' ',0.05,' ',0.02,' ',0.05,' ',0.05,' ',0.05,' '
AllEx3-Combined-TempOnly-20s-Rel,0.20,0.19,' ',0.19,' ',0.19,' ',0.20,' ',0.20,' ',0.20,' ',0.14,' ',0.20,' ',0.19,' ',0.19,' ',0.19,' ',0.19,' ',0.12,' ',0.13,' ',0.12,' ',0.12,' ',0.12,' '
AllEx3-Combined-TempOnly-30s-Rel,0.16,0.17,' ',0.15,' ',0.15,' ',0.16,' ',0.17,' ',0.17,' ',0.09,' ',0.21,' ',0.20,' ',0.20,' ',0.20,' ',0.20,' ',0.11,' ',0.05,' ',0.07,' ',0.07,' ',0.07,' '
AllEx3-Distraction-EmotionsAndTemp-10s-Rel,0.31,0.31,' ',0.31,' ',0.30,' ',0.30,' ',0.31,' ',0.31,' ',0.18,*,0.19,*,0.19,*,0.19,*,0.19,*,0.19,*,0.17,*,0.16,*,0.18,*,0.16,*,0.16,*
