Tester:     weka.experiment.PairedCorrectedTTester -G 4,5,6 -D 1 -R 2 -S 0.05 -result-matrix "weka.experiment.ResultMatrixCSV -mean-prec 2 -stddev-prec 0 -col-name-width 0 -row-name-width 40 -mean-width 2 -stddev-width 2 -sig-width 1 -count-width 0 -show-avg -print-row-names -enum-col-names"
Analysing:  Matthews_correlation
Datasets:   27
Resultsets: 18
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       21/06/2021, 14:52


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],''
CombinedFeatures-EmotionsAndTemp-10s,0.76,0.76,' ',0.77,' ',0.77,' ',0.76,' ',0.77,' ',0.77,' ',0.55,*,0.63,*,0.63,*,0.62,*,0.62,*,0.62,*,0.59,*,0.57,*,0.60,*,0.62,*,0.60,*
CombinedFeatures-EmotionsAndTemp-20s,0.76,0.74,' ',0.76,' ',0.75,' ',0.76,' ',0.76,' ',0.76,' ',0.61,*,0.63,*,0.63,*,0.62,*,0.62,*,0.62,*,0.55,*,0.56,*,0.57,*,0.60,*,0.61,*
CombinedFeatures-EmotionsAndTemp-30s,0.73,0.74,' ',0.74,' ',0.74,' ',0.73,' ',0.74,' ',0.74,' ',0.61,' ',0.63,' ',0.63,' ',0.63,' ',0.63,' ',0.63,' ',0.52,*,0.53,*,0.54,*,0.59,' ',0.57,' '
CombinedFeatures-EmotionsOnly-10s,0.71,0.71,' ',0.71,' ',0.71,' ',0.70,' ',0.71,' ',0.71,' ',0.54,*,0.59,*,0.59,*,0.58,*,0.58,*,0.58,*,0.53,*,0.53,*,0.55,*,0.59,*,0.57,*
CombinedFeatures-EmotionsOnly-20s,0.67,0.67,' ',0.67,' ',0.66,' ',0.67,' ',0.68,' ',0.69,' ',0.63,' ',0.53,*,0.53,*,0.53,*,0.53,*,0.53,*,0.51,*,0.49,*,0.53,*,0.53,' ',0.55,*
CombinedFeatures-EmotionsOnly-30s,0.67,0.64,' ',0.66,' ',0.67,' ',0.63,' ',0.67,' ',0.66,' ',0.60,' ',0.56,' ',0.56,' ',0.56,' ',0.56,' ',0.56,' ',0.46,*,0.50,*,0.52,*,0.53,*,0.49,*
CombinedFeatures-TempOnly-10s,0.42,0.41,' ',0.40,' ',0.40,' ',0.41,' ',0.42,' ',0.42,' ',0.40,' ',0.41,' ',0.41,' ',0.40,' ',0.40,' ',0.40,' ',0.31,' ',0.33,' ',0.35,' ',0.35,' ',0.35,' '
CombinedFeatures-TempOnly-20s,0.47,0.47,' ',0.47,' ',0.47,' ',0.47,' ',0.49,' ',0.49,' ',0.42,' ',0.45,' ',0.45,' ',0.45,' ',0.44,' ',0.44,' ',0.40,' ',0.42,' ',0.44,' ',0.44,' ',0.44,' '
CombinedFeatures-TempOnly-30s,0.48,0.48,' ',0.45,' ',0.45,' ',0.48,' ',0.48,' ',0.48,' ',0.36,' ',0.36,' ',0.36,' ',0.37,' ',0.37,' ',0.37,' ',0.37,' ',0.38,' ',0.36,' ',0.36,' ',0.36,' '
DistractionFeatures-EmotionsAndTemp-10s,0.84,0.83,' ',0.84,' ',0.83,' ',0.84,' ',0.84,' ',0.84,' ',0.74,*,0.71,*,0.71,*,0.70,*,0.70,*,0.70,*,0.63,*,0.61,*,0.65,*,0.68,*,0.69,*
DistractionFeatures-EmotionsAndTemp-20s,0.86,0.86,' ',0.85,' ',0.85,' ',0.86,' ',0.85,' ',0.85,' ',0.69,*,0.76,' ',0.75,*,0.75,*,0.75,*,0.75,*,0.70,*,0.67,*,0.67,*,0.70,*,0.77,' '
